segmentName,test_short_noisyPhase_PESQ,test_short_noisyPhase_STOI,test_short_noisyPhase_SegSNR,test_short_noisyPhase_DNSMOS_OVRL,test_short_noisyPhase_DNSMOS_SIG,test_short_noisyPhase_DNSMOS_BAK
p265_060_Pub_Noise_Binaural_V2_0dB_SNR_66,2319,0.544508166064039,4.6525548892547,2.62861175342683,3.00386376348616,3.7385030987591
p240_237_Pub_Noise_Binaural_V2_0dB_SNR_67,1873,0.545675861774177,4.50685943570072,2.36167437400671,2.83439431652575,3.32131595172011
p272_338_Pub_Noise_Binaural_V2_0dB_SNR_68,2159,0.467622745410926,4.83087056416987,2.6357600504936,3.02474989228427,3.71308907732128
p240_051_Pub_Noise_Binaural_V2_0dB_SNR_69,1983,0.531590488592786,4.67457444124926,1.98845314189766,2.2530404928414,3.58461219025496
p240_309_Pub_Noise_Binaural_V2_0dB_SNR_70,1647,0.55905606121875,1.75421235530208,2.4598763507391,2.82191256356597,3.61044024956927
p245_017_Pub_Noise_Binaural_V2_5dB_SNR_71,2511,0.675243563874209,6.72934121123661,3.18835863444138,3.48952660032862,4.01957980911573
p248_211_Pub_Noise_Binaural_V2_5dB_SNR_72,2554,0.825471084975438,7.32585991533429,2.79505941710454,3.15718367147625,3.92776207049469
p245_314_Pub_Noise_Binaural_V2_5dB_SNR_73,2463,0.593326409449231,8.42023647761061,2.90408472808583,3.43916730393117,3.53195006231488
p226_203_Pub_Noise_Binaural_V2_5dB_SNR_74,2886,0.825037300061219,6.23882545795338,3.04171445426357,3.38131972266137,3.92463114992058
p272_029_Pub_Noise_Binaural_V2_5dB_SNR_75,2581,0.757732287222234,9.23093160391662,3.04635448530884,3.37418089899049,3.97163596583466
p265_060_Pub_Noise_Binaural_V2_5dB_SNR_76,2826,0.60512811079318,9.07316043234359,2.73196839992438,3.08501393747116,3.83291356602838
p240_237_Pub_Noise_Binaural_V2_5dB_SNR_77,2529,0.631979193700458,9.07082191372915,2.96023620896567,3.28264721262181,3.92608453113115
p272_338_Pub_Noise_Binaural_V2_5dB_SNR_78,2908,0.46312676772265,9.30063280566156,2.75977223985055,3.12045381304797,3.8160882028808
p240_051_Pub_Noise_Binaural_V2_5dB_SNR_79,2669,0.597099771673211,8.65209612262584,2.49193286266996,2.78168293264663,3.75039179747768
p240_309_Pub_Noise_Binaural_V2_5dB_SNR_80,2461,0.706218407742193,7.49011457636282,2.56594448625452,2.90287010027182,3.75955066495309
p245_017_Pub_Noise_Binaural_V2_10dB_SNR_81,3369,0.717409721805797,10.74644405974,3.19394124510234,3.54743686996949,3.91289188762287
p248_211_Pub_Noise_Binaural_V2_10dB_SNR_82,3039,0.856647708470079,10.6395075506563,2.89850128430974,3.22670874199162,3.96664267967406
p245_314_Pub_Noise_Binaural_V2_10dB_SNR_83,3059,0.571580993564176,11.8360343249036,3.28733188560317,3.60779782076098,3.96899929148468
p226_203_Pub_Noise_Binaural_V2_10dB_SNR_84,3101,0.846700593676443,10.1542017092193,3.18541304511957,3.47578659582874,3.99714655034076
p272_029_Pub_Noise_Binaural_V2_10dB_SNR_85,2971,0.783560270686903,12.6313726352542,2.95539078509694,3.36997920974516,3.78091604110664
p265_060_Pub_Noise_Binaural_V2_10dB_SNR_86,3178,0.654483620061893,12.2289121916522,3.10736209135406,3.45194366477263,3.94383613061335
p240_237_Pub_Noise_Binaural_V2_10dB_SNR_87,3141,0.695564878268679,12.5448113367081,2.86604136272953,3.26291872051329,3.76878469105473
p272_338_Pub_Noise_Binaural_V2_10dB_SNR_88,3216,0.592462080562442,12.2834196660214,3.04298583071196,3.37268265296211,3.95482510530996
p240_051_Pub_Noise_Binaural_V2_10dB_SNR_89,2997,0.586758087550232,11.1457644179459,2.65015776617238,2.95047396634994,3.81132664919667
p240_309_Pub_Noise_Binaural_V2_10dB_SNR_90,2761,0.705968729881725,10.1580627825196,2.94471815403747,3.26181345253087,3.90473883637844
